,business_id,prob,score,bin,feature_importance
34,2a364bf3-30f1-4054-86c2-2d3369f3bb89,0.405,595,3,"{'credit_utilisation_6m': 0.449, 'ratio_card_amt_total_debit_3m': 0.404, 'median_running_balance_6m': 0.357, 'card_size_1m': 0.2}"
35,2ac5ec47-3f17-49b8-948e-b4455aecaa00,0.201,799,1,"{'ratio_card_amt_total_debit_3m': 0.361, 'distinct_pd_txns_1000_1m': 0.252, 'distinct_mrdc_txns_100_3m': 0.187, 'od_count_6m': 0.156}"
36,9cce6d48-5091-4462-a423-ef8b07546e3a,0.528,472,4,"{'card_size_1m': 0.248, 'ratio_card_withdrawal_amt_90_180': 0.166, 'od_count_6m': 0.156, 'ratio_card_amt_total_debit_3m': 0.141}"
37,0d694ed0-cee6-4244-9608-90cfec36cc19,0.114,886,1,"{'median_running_balance_6m': 1.661, 'median_amount_credited_6m': 0.737, 'ach_d_size_6m': 0.72, 'ratio_card_amt_total_debit_3m': 0.311}"
38,e0494a1a-ac9b-4b46-8641-8f21d10cce6a,0.335,665,2,"{'ratio_card_amt_total_debit_3m': 0.325, 'median_amount_credited_6m': 0.276, 'od_count_6m': 0.156, 'stddev_amount_ach_c_1m': 0.126}"
39,9b9719b6-0f3c-40a0-902c-c456f653129c,0.558,442,4,"{'ratio_mrdc_freq_90_180': 0.328, 'od_count_6m': 0.273, 'median_running_balance_6m': 0.244, 'stddev_amount_ach_c_1m': 0.126}"
40,7922550b-b6a4-47ca-8b53-e56a2c3e49d4,0.472,528,3,"{'ratio_card_amt_total_debit_3m': 0.453, 'od_count_6m': 0.156, 'median_running_balance_6m': 0.132, 'stddev_amount_ach_c_1m': 0.128}"
41,2713293e-45ec-4ae2-bd2a-33b734713864,0.314,686,2,"{'credit_utilisation_6m': 0.434, 'median_running_balance_6m': 0.243, 'od_count_6m': 0.156, 'ratio_mrdc_freq_90_180': 0.141}"
42,edb4bb54-56e9-4849-9975-2f6a5db9c4e7,0.142,858,1,"{'stddev_amount_ach_c_1m': 1.02, 'median_running_balance_6m': 0.498, 'ach_d_size_6m': 0.419, 'ratio_card_amt_total_debit_3m': 0.28}"
43,3464dae0-fccd-4d69-93fa-ec198f2f3dd0,0.461,539,3,"{'ratio_mrdc_freq_90_180': 0.199, 'ratio_card_withdrawal_amt_90_180': 0.183, 'od_count_6m': 0.156, 'median_running_balance_6m': 0.111}"
44,89c8a6d3-3071-4125-9c5b-407c56cf07a7,0.638,362,5,"{'ratio_mrdc_freq_90_180': 0.638, 'ratio_card_amt_total_debit_3m': 0.443, 'distinct_mrdc_txns_100_3m': 0.327, 'od_count_6m': 0.156}"
45,5e9329a5-a835-4c42-9262-948b150041a5,0.319,681,2,"{'ratio_card_amt_total_debit_3m': 0.307, 'ratio_mrdc_freq_90_180': 0.186, 'od_count_6m': 0.156, 'ach_d_size_6m': 0.146}"
46,8599eea4-e233-488e-b603-3601a78b2473,0.224,776,1,"{'ratio_mrdc_freq_90_180': 0.571, 'ratio_card_amt_total_debit_3m': 0.264, 'ratio_card_withdrawal_amt_90_180': 0.245, 'od_count_6m': 0.156}"
